disaster_number,state,declaration_type,declaration_date,incident_type,declaration_title,ih_program_declared,ia_program_declared,pa_program_declared,hm_program_declared,incident_begin_date,incident_end_date,country_name,designated_area,declaration_request_number,deaths,incident_duration
4693,New Hampshire,Velika katastrofa,2023-03-15,Severe Storm,Severe Storm And Flooding,0,0,1,1,2022-12-22,2022-12-25,Coos County (New Hampshire),Coos (County),23015,3190,19
3236,Kansas,Upravljanje hitnim situacijama,2005-09-10,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-09-01,2005-10-01,Ottawa County (Kansas),Ottawa (County),5110,1279,20
1996,Montana,Velika katastrofa,2011-06-17,Severe Storm,Severe Storms And Flooding,1,0,1,1,2011-04-04,2011-07-22,Cascade County,Cascade (County),11132,6045,16
1158,Minnesota,Velika katastrofa,1997-01-16,Severe Storm,Severe Winter Storms,0,0,1,0,1997-01-03,1997-02-03,Douglas County (Minnesota),Douglas (County),97034,9292,12
746,Puerto Rico,Velika katastrofa,1985-10-10,Flood,"Severe Storms, Flooding & Mudslides",0,0,1,0,1985-10-04,1985-10-07,Guayanilla Municipio,Guayanilla (Municipio),85064,5801,7
1227,Ohio,Velika katastrofa,1998-06-30,Severe Storm,"Severe Storms, Flooding, And Tornadoes",0,1,1,0,1998-06-24,1998-07-05,Tuscarawas County,Tuscarawas (County),98064,354,13
995,Missouri,Velika katastrofa,1993-07-09,Flood,Severe Storms & Flooding,0,1,1,0,1993-06-10,1993-10-25,Cooper County,Cooper (County),93030,6196,6
1976,Kentucky,Velika katastrofa,2011-05-04,Severe Storm,"Severe Storms, Tornadoes, And Flooding",0,0,1,1,2011-04-12,2011-05-20,Estill County,Estill (County),11084,2596,8
3294,Texas,Upravljanje hitnim situacijama,2008-09-10,Hurricane,Hurricane Ike,0,0,1,0,2008-09-07,2008-09-26,Randall County,Randall (County),8146,646,4
4427,Tennessee,Velika katastrofa,2019-04-17,Flood,"Severe Storms, Flooding, Landslides, And Mudslides",0,0,1,1,2019-02-19,2019-03-30,Loudon County,Loudon (County),19013,2876,2
1809,Missouri,Velika katastrofa,2008-11-13,Severe Storm,"Severe Storms, Flooding, And A Tornado",0,0,1,1,2008-09-11,2008-09-24,Howard County (Missouri),Howard (County),8168,7665,1
3134,Illinois,Upravljanje hitnim situacijama,1999-01-08,Snowstorm,Il-Winter Storm  1/1/99,0,0,1,0,1999-01-01,1999-01-15,Henderson County (Illinois),Henderson (County),99001,4719,14
4685,Georgia,Velika katastrofa,2023-01-16,Severe Storm,"Severe Storms, Straight-Line Winds, And Tornadoes",1,0,0,1,2023-01-12,2023-01-12,Pike County (Georgia),Pike (County),23006,9222,13
3109,West Virginia,Upravljanje hitnim situacijama,1993-03-17,Snowstorm,Severe Snowfall & Winter Storm,0,0,1,0,1993-03-13,1993-03-17,Preston County,Preston (County),93022,6257,4
3230,Illinois,Upravljanje hitnim situacijama,2005-09-07,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Vermilion County,Vermilion (County),5107,6361,12
843,South Carolina,Velika katastrofa,1989-09-22,Hurricane,Hurricane Hugo,0,1,1,0,1989-09-21,1989-09-22,Clarendon County,Clarendon (County),89041,3380,11
3302,Kentucky,Upravljanje hitnim situacijama,2009-01-28,Severe Ice Storm,Severe Winter Storm,0,0,1,0,2009-01-27,2009-02-05,Perry County (Kentucky),Perry (County),9010,9571,8
1086,Virginia,Velika katastrofa,1996-01-13,Snowstorm,Blizzard Of 96 (Severe Snow Storm),0,0,1,0,1996-01-06,1996-01-12,Lexington city,Lexington,96018,6448,4
1247,Puerto Rico,Velika katastrofa,1998-09-24,Hurricane,Hurricane Georges - 18 Sep 98,0,1,1,0,1998-09-20,1998-10-27,Vega Baja Municipio,Vega Baja (Municipio),99021,3775,10
1265,Mississippi,Velika katastrofa,1999-01-25,Severe Ice Storm,"Severe Winter Storms, Ice And Freezing Rain",0,0,1,1,1998-12-23,1998-12-26,Humphreys County (Mississippi),Humphreys (County),99008,6708,9
4441,Arkansas,Velika katastrofa,2019-06-08,Flood,Severe Storms And Flooding,1,0,1,1,2019-05-21,2019-06-14,Desha County,Desha (County),19036,8973,10
1830,Minnesota,Velika katastrofa,2009-04-09,Severe Storm,Severe Storms And Flooding,0,0,1,1,2009-03-16,2009-05-22,Wadena County,Wadena (County),9035,2310,23
1247,Puerto Rico,Velika katastrofa,1998-09-24,Hurricane,Hurricane Georges - 18 Sep 98,0,1,1,0,1998-09-20,1998-10-27,Isabela Municipio,Isabela (Municipio),99021,9022,5
3251,Maryland,Upravljanje hitnim situacijama,2005-09-13,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Washington County (Maryland),Washington (County),5124,5812,19
5172,Kansas,Upravljanje požarom,2017-03-06,Fire,Ellsworth-Lincoln-Russell Fire Complex,0,0,1,1,2017-03-04,2017-03-15,Lincoln County (Kansas),Lincoln (County),17025,7790,17
3225,Michigan,Upravljanje hitnim situacijama,2005-09-07,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Baraga County,Baraga (County),5106,6150,21
184,Oregon,Velika katastrofa,1964-12-24,Flood,Heavy Rains & Flooding,0,1,1,0,1964-12-24,1964-12-24,Clackamas County,Clackamas (County),64031,2164,2
1173,South Dakota,Velika katastrofa,1997-04-07,Flood,"Severe Flooding, Sever Winter Storms,Heavy Rains High Winds",0,1,1,0,1997-02-03,1997-05-24,Turner County (South Dakota),Turner (County),97049,9049,6
988,Maine,Velika katastrofa,1993-05-11,Flood,"Heavy Rain, Snowmelt, Ice Jams & Flooding",0,0,1,0,1993-04-09,1993-04-15,Somerset County (Maine),Somerset (County),93047,4910,17
614,Arizona,Velika katastrofa,1980-02-19,Flood,Severe Storms & Flooding,0,1,1,0,1980-02-19,1980-02-19,Gila County,Gila (County),80018,9445,20
1555,Pennsylvania,Velika katastrofa,2004-09-19,Severe Storm,Severe Storms And Flooding Associated With Tropical Depression Frances,1,1,0,1,2004-09-08,2004-09-09,Lawrence County (Pennsylvania),Lawrence (County),4110,2211,21
1748,Missouri,Velika katastrofa,2008-03-12,Severe Ice Storm,Severe Winter Storms And Flooding,0,0,1,1,2008-02-10,2008-02-14,Wayne County (Missouri),Wayne (County),8029,4051,21
399,New Hampshire,Velika katastrofa,1973-07-11,Flood,Severe Storms & Flooding,0,1,1,0,1973-07-11,1973-07-11,Hillsborough County (New Hampshire),"Hillsborough (County)(in (P)MSA 4560,4760,5350)",73069,872,7
1442,Alabama,Velika katastrofa,2002-11-14,Severe Storm,Severe Storms And Tornadoes,1,1,0,1,2002-11-05,2002-11-12,Dale County,Dale (County),2148,8975,14
930,Texas,Velika katastrofa,1991-12-26,Flood,Severe Thunderstorms,0,1,0,0,1991-12-20,1992-01-14,Anderson County (Texas),Anderson (County),91063,4352,13
3406,Georgia,Upravljanje hitnim situacijama,2018-10-10,Hurricane,Hurricane Michael,0,0,1,0,2018-10-09,2018-10-23,Butts County,Butts (County),18113,3850,7
1909,Tennessee,Velika katastrofa,2010-05-04,Severe Storm,"Severe Storms, Flooding, Straight-Line Winds, And Tornadoes",1,0,1,1,2010-04-30,2010-05-18,Maury County,Maury (County),10053,7351,1
1580,Ohio,Velika katastrofa,2005-02-15,Severe Storm,"Severe Winter Storms, Flooding, And Mudslides",0,0,1,1,2004-12-22,2005-02-01,Harrison County (Ohio),Harrison (County),5018,8749,15
4226,Arkansas,Velika katastrofa,2015-06-26,Severe Storm,"Severe Storms, Tornadoes, Straight-Line Winds, And Flooding",0,0,1,1,2015-05-07,2015-06-15,Dallas County (Arkansas),Dallas (County),15031,5572,22
218,Texas,Velika katastrofa,1966-05-12,Flood,Severe Storms & Flooding,0,1,1,0,1966-05-12,1966-05-12,Red River County,Red River (County),66016,2250,8
1111,Arkansas,Velika katastrofa,1996-04-23,Severe Storm,Severe Storms And Tornadoes,0,1,0,0,1996-04-21,1996-04-22,Washington County (Arkansas),Washington (County),96116,819,17
4650,Washington,Velika katastrofa,2022-03-29,Flood,"Severe Winter Storms, Snowstorms, Straight-Line Winds, Floodin",0,0,1,1,2021-12-26,2022-01-15,Lewis County (Washington),Lewis (County),22020,5324,21
1293,Virginia,Velika katastrofa,1999-09-18,Hurricane,Hurricane Floyd Major Disaster Declarations,0,1,1,1,1999-09-13,1999-09-26,Colonial Heights city,Colonial Heights,99096,946,5
1996,Montana,Velika katastrofa,2011-06-17,Severe Storm,Severe Storms And Flooding,0,0,1,1,2011-04-04,2011-07-22,Liberty County (Montana),Liberty (County),11132,1678,11
3240,Virginia,Upravljanje hitnim situacijama,2005-09-12,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Virginia Beach city,Virginia Beach,5108,8374,16
4411,Virginia,Velika katastrofa,2018-12-18,Hurricane,Tropical Storm Michael,0,0,1,1,2018-10-09,2018-10-16,Lunenburg County,Lunenburg (County),18134,6239,6
1768,Wisconsin,Velika katastrofa,2008-06-14,Severe Storm,"Severe Storms, Tornadoes, And Flooding",1,1,1,1,2008-06-05,2008-07-25,Grant County (Wisconsin),Grant (County),8090,4108,17
1032,North Dakota,Velika katastrofa,1994-07-01,Severe Storm,"Severe Storms, Flooding",0,0,1,0,1994-03-05,1994-08-05,Benson County,Benson (County),94050,5057,16
1134,North Carolina,Velika katastrofa,1996-09-06,Hurricane,Hurricane Fran,0,0,1,0,1996-09-05,1996-10-21,Montgomery County(North Carolina),Montgomery (County),96177,7440,1
1969,North Carolina,Velika katastrofa,2011-04-19,Severe Storm,"Severe Storms, Tornadoes, And Flooding",1,0,0,1,2011-04-16,2011-04-16,Tyrrell County,Tyrrell (County),11058,2541,17
3407,Alabama,Upravljanje hitnim situacijama,2018-10-12,Hurricane,Hurricane Michael,0,0,1,0,2018-10-10,2018-10-13,Bullock County,Bullock (County),18114,200,15
1134,North Carolina,Velika katastrofa,1996-09-06,Hurricane,Hurricane Fran,0,1,1,0,1996-09-05,1996-10-21,Lee County (North Carolina),Lee (County),96177,3674,10
3025,Colorado,Upravljanje hitnim situacijama,1977-01-29,Drought,Drought,0,0,1,0,1977-01-29,1977-01-29,Pitkin County,Pitkin (County),77026,1546,13
1597,North Dakota,Velika katastrofa,2005-07-22,Severe Storm,"Severe Storms, Flooding, And Ground Saturation",0,0,1,1,2005-06-01,2005-07-07,Pierce County (North Dakota),Pierce (County),5050,348,4
4272,Texas,Velika katastrofa,2016-06-11,Flood,Severe Storms And Flooding,1,0,1,1,2016-05-22,2016-06-24,Grimes County,Grimes (County),16047,2247,16
1254,Kansas,Velika katastrofa,1998-10-14,Severe Storm,"Severe Storms, Flooding And Tornadoes",0,0,1,0,1998-10-01,1998-10-08,Jackson County (Kansas),Jackson (County),98083,7772,7
1861,Arkansas,Velika katastrofa,2009-12-03,Severe Storm,"Severe Storms, Tornadoes, And Flooding",0,0,1,1,2009-10-29,2009-11-08,White County (Arkansas),White (County),9121,6792,9
1560,Georgia,Velika katastrofa,2004-09-24,Hurricane,Tropical Storm Frances,0,0,1,1,2004-09-03,2004-10-30,Taliaferro County,Taliaferro (County),4118,706,9
3235,Pennsylvania,Upravljanje hitnim situacijama,2005-09-10,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-29,2005-10-01,Sullivan County (Pennsylvania),Sullivan (County),5101,5112,9
3331,Connecticut,Upravljanje hitnim situacijama,2011-08-27,Hurricane,Hurricane Irene,1,0,1,0,2011-08-26,2011-09-01,Litchfield County,"Litchfield (County)(in (P)MSA 1170,1930,3280,8880)",11193,7207,13
1501,Puerto Rico,Velika katastrofa,2003-11-21,Severe Storm,"Severe Storms, Flooding, Mudslides, And Landslides",1,1,1,1,2003-11-10,2003-11-23,Maunabo Municipio,Maunabo (Municipio),3134,9791,10
3358,West Virginia,Upravljanje hitnim situacijama,2012-10-29,Hurricane,Hurricane Sandy,0,0,1,0,2012-10-29,2012-11-08,Ohio County (West Virginia),Ohio (County),12110,5050,23
3141,North Carolina,Upravljanje hitnim situacijama,1999-09-01,Hurricane,Hurricane Dennis,0,0,1,0,1999-08-29,1999-09-11,Dare County,Dare (County),99079,6429,13
1727,Iowa,Velika katastrofa,2007-09-14,Severe Storm,Severe Storms And Flooding,0,0,1,1,2007-08-17,2007-09-05,Mahaska County,Mahaska (County),7898,3877,5
1688,Iowa,Velika katastrofa,2007-03-14,Severe Storm,Severe Winter Storms,0,0,1,1,2007-02-23,2007-03-02,Marshall County (Iowa),Marshall (County),7799,6274,23
3025,Colorado,Upravljanje hitnim situacijama,1977-01-29,Drought,Drought,0,0,1,0,1977-01-29,1977-01-29,Teller County,Teller (County),77026,6006,16
1293,Virginia,Velika katastrofa,1999-09-18,Hurricane,Hurricane Floyd Major Disaster Declarations,0,1,1,0,1999-09-13,1999-09-26,Petersburg city,Petersburg,99096,4125,21
3332,New Jersey,Upravljanje hitnim situacijama,2011-08-27,Hurricane,Hurricane Irene,0,0,1,0,2011-08-26,2011-09-05,Warren County (New Jersey),Warren (County),11190,6378,7
3554,Texas,Upravljanje hitnim situacijama,2021-02-14,Severe Ice Storm,Severe Winter Storm,0,0,1,0,2021-02-11,2021-02-21,Navarro County,Navarro (County),21009,8073,14
3173,New York,Upravljanje hitnim situacijama,2003-02-25,Snowstorm,Snowstorms,0,0,1,0,2002-12-25,2003-01-04,Schoharie County,Schoharie (County),3006,5641,5
1316,Alaska,Velika katastrofa,2000-02-17,Severe Storm,Severe Winter Storms And Avalanches,0,0,1,1,1999-12-21,2000-02-23,Dillingham Census Area,Dillingham (Census Area),17,4846,17
3231,Kentucky,Upravljanje hitnim situacijama,2005-09-10,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-29,2005-10-01,Marshall County (Kentucky),Marshall (County),5099,8039,19
1421,Colorado,Velika katastrofa,2002-06-19,Fire,Wildfires,0,1,0,1,2002-04-23,2002-08-06,Costilla County,Costilla (County),2068,3915,17
2390,Virginia,Upravljanje požarom,2001-11-16,Fire,Va - Far Southwest Fire Complex - 11/16/2001,0,0,1,0,2001-11-14,2001-12-09,Scott County (Virginia),Scott (County),1116,8921,12
3290,Texas,Upravljanje hitnim situacijama,2008-08-29,Hurricane,Hurricane Gustav,0,0,1,0,2008-08-27,2008-09-07,Hidalgo County (Texas),Hidalgo (County),8133,1937,20
1454,Kentucky,Velika katastrofa,2003-03-14,Severe Storm,"Severe Winter Ice And Snow Storms, Heavy Rain, Flooding, Tornadoes, And Mud And",1,1,1,1,2003-02-15,2003-02-26,Lawrence County (Kentucky),Lawrence (County),3016,4431,4
3045,Alabama,Upravljanje hitnim situacijama,1977-07-20,Drought,Drought,0,0,1,0,1977-07-20,1977-07-20,Mobile County,Mobile (County),77102,8854,4
4575,Oklahoma,Velika katastrofa,2020-12-21,Severe Ice Storm,Severe Winter Storm,0,0,1,1,2020-10-26,2020-10-29,Custer County (Oklahoma),Custer (County),20322,4813,5
1557,Pennsylvania,Velika katastrofa,2004-09-19,Hurricane,Tropical Depression Ivan,1,1,1,1,2004-09-17,2004-10-01,Juniata County,Juniata (County),4119,4826,10
3253,Montana,Upravljanje hitnim situacijama,2005-09-13,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Wheatland County,Wheatland (County),5127,4091,2
1818,Kentucky,Velika katastrofa,2009-02-05,Severe Ice Storm,Severe Winter Storm And Flooding,0,0,1,1,2009-01-26,2009-02-13,Breckinridge County,Breckinridge (County),9013,1659,23
1442,Alabama,Velika katastrofa,2002-11-14,Severe Storm,Severe Storms And Tornadoes,1,1,0,1,2002-11-05,2002-11-12,Pickens County (Alabama),Pickens (County),2148,6182,14
1257,Texas,Velika katastrofa,1998-10-21,Flood,Tx-Flooding 10/18/98,0,1,0,0,1998-10-17,1998-11-15,Atascosa County,Atascosa (County),98063,5155,18
1802,Kentucky,Velika katastrofa,2008-10-09,Severe Storm,Severe Wind Storm Associated With Tropical Depression Ike,0,0,1,1,2008-09-12,2008-09-14,Fulton County (Kentucky),Fulton (County),8163,6818,15
3385,Florida,Upravljanje hitnim situacijama,2017-09-05,Hurricane,Hurricane Irma,0,0,1,0,2017-09-04,2017-10-18,Dixie County,Dixie (County),17094,9312,10
1585,California,Velika katastrofa,2005-04-14,Severe Storm,"Severe Storms, Flooding, Landslides, And Mud And Debris Flows",0,0,1,1,2005-02-16,2005-02-23,Riverside County,Riverside (County),5027,3716,5
1549,Alabama,Velika katastrofa,2004-09-15,Hurricane,Hurricane Ivan,1,1,1,1,2004-09-13,2004-09-30,Lamar County (Alabama),Lamar (County),4109,0,17
193,Iowa,Velika katastrofa,1965-04-22,Flood,Flooding,0,1,1,0,1965-04-22,1965-04-22,Johnson County (Iowa),Johnson (County),65019,774,21
3110,North Carolina,Upravljanje hitnim situacijama,1993-03-17,Snowstorm,Severe Snowfall & Winter Storm,0,0,1,0,1993-03-13,1993-03-17,Macon County (North Carolina),Macon (County),93023,5266,5
3235,Pennsylvania,Upravljanje hitnim situacijama,2005-09-10,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-29,2005-10-01,Greene County (Pennsylvania),Greene (County),5101,9628,13
4186,South Dakota,Velika katastrofa,2014-07-28,Flood,"Severe Storms, Tornadoes, And Flooding",0,0,1,1,2014-06-13,2014-06-20,Minnehaha County,Minnehaha (County),14057,1434,13
1833,Georgia,Velika katastrofa,2009-04-23,Severe Storm,"Severe Storms, Flooding, Tornadoes, And Straight-Line Winds",0,0,1,1,2009-03-26,2009-04-13,Grady County (Georgia),Grady (County),9043,8210,23
3564,Connecticut,Upravljanje hitnim situacijama,2021-08-22,Hurricane,Hurricane Henri,0,0,1,0,2021-08-21,2021-08-24,Litchfield County,"Litchfield (County)(in (P)MSA 1170,1930,3280,8880)",21082,8916,10
3112,Virginia,Upravljanje hitnim situacijama,1993-03-25,Snowstorm,Severe Winter Storm,0,0,1,0,1993-03-13,1993-03-14,Dinwiddie County,Dinwiddie (County),93025,7616,9
1319,West Virginia,Velika katastrofa,2000-02-28,Flood,"Flooding, Severe Storms, And Landslides",0,1,1,1,2000-02-18,2000-02-22,Barbour County(West Virginia),Barbour (County),20,1543,1
1114,Maine,Velika katastrofa,1996-05-20,Severe Storm,"Severe Storms, Mudslides, Flooding",0,0,1,0,1996-04-16,1996-04-17,Oxford County,Oxford (County),96122,1862,23
3251,Maryland,Upravljanje hitnim situacijama,2005-09-13,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Montgomery County (Maryland),Montgomery (County),5124,9455,9
1512,Massachusetts,Velika katastrofa,2004-04-21,Flood,Flooding,1,1,0,1,2004-04-01,2004-04-30,Middlesex County (Massachusetts),"Middlesex (County)(in (P)MSA 1120,2600,4560)",4021,2620,6
3218,Georgia,Upravljanje hitnim situacijama,2005-09-05,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-27,2005-10-01,Schley County,Schley (County),5088,2096,22
1380,Louisiana,Velika katastrofa,2001-06-11,Coastal Storm,Tropical Storm Allison,0,0,1,0,2001-06-05,2001-06-22,Pointe Coupee Parish,Pointe Coupee (Parish),1066,8821,6
3045,Alabama,Upravljanje hitnim situacijama,1977-07-20,Drought,Drought,0,0,1,0,1977-07-20,1977-07-20,Tuscaloosa County,Tuscaloosa (County),77102,6943,12
468,Kentucky,Velika katastrofa,1975-05-24,Flood,Severe Storms & Flooding,0,1,1,0,1975-05-24,1975-05-24,Knott County,Knott (County),75091,8313,12
1439,Texas,Velika katastrofa,2002-11-05,Severe Storm,"Severe Storms, Tornadoes And Flooding",1,1,0,1,2002-10-24,2002-11-15,Aransas County,Aransas (County),2144,3403,6
378,Kansas,Velika katastrofa,1973-05-02,Flood,Severe Storms & Flooding,0,0,1,0,1973-05-02,1973-05-02,Douglas County (Kansas),Douglas (County),73039,5642,12
1926,Oklahoma,Velika katastrofa,2010-07-26,Severe Storm,"Severe Storms, Tornadoes, Straight-Line Winds, And Flooding",0,0,1,1,2010-06-13,2010-06-15,Cimarron County,Cimarron (County),10069,4587,22
3231,Kentucky,Upravljanje hitnim situacijama,2005-09-10,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-29,2005-10-01,Scott County (Kentucky),Scott (County),5099,2937,6
3150,Florida,Upravljanje hitnim situacijama,1999-10-15,Hurricane,Tropical Storm Irene - Florida,0,0,1,0,1999-10-14,1999-10-19,Orange County (Florida),Orange (County),99136,6499,8
4411,Virginia,Velika katastrofa,2018-12-18,Hurricane,Tropical Storm Michael,0,0,1,1,2018-10-09,2018-10-16,Fluvanna County,Fluvanna (County),18134,5286,18
1546,North Carolina,Velika katastrofa,2004-09-10,Hurricane,Tropical Storm Frances,1,1,0,1,2004-09-07,2004-09-12,Alleghany County (North Carolina),Alleghany (County),4102,3915,3
3308,Oklahoma,Upravljanje hitnim situacijama,2010-01-30,Severe Storm,Severe Winter Storm,0,0,1,0,2010-01-28,2010-01-30,Custer County (Oklahoma),Custer (County),10005,2637,19
1961,Missouri,Velika katastrofa,2011-03-23,Severe Storm,Severe Winter Storm And Snowstorm,0,0,1,1,2011-01-31,2011-02-05,Benton County (Missouri),Benton (County),11026,8610,13
3581,Virgin Islands,Upravljanje hitnim situacijama,2022-07-25,Other,Water Shortage And Health Impact From Unprecedented Sargassum Seagrass Influx,0,0,1,0,2022-07-15,2022-10-13,St. Croix Island,St. Croix (Island) (County-equivalent),22063,8364,11
259,Iowa,Velika katastrofa,1969-04-25,Flood,Flooding,0,1,1,0,1969-04-25,1969-04-25,Dubuque County,Dubuque (County),69022,9170,5
1209,Georgia,Velika katastrofa,1998-03-11,Severe Storm,Severe Storms And Flooding,0,1,1,0,1998-02-14,1998-05-11,Colquitt County,Colquitt (County),98028,1897,14
4690,Oklahoma,Velika katastrofa,2023-03-03,Severe Storm,Severe Winter Storm,0,0,1,1,2022-12-21,2022-12-25,Oklahoma,Creek (OTSA),23012,7869,3
1708,Missouri,Velika katastrofa,2007-06-11,Severe Storm,Severe Storms And Flooding,1,1,1,1,2007-05-05,2007-05-18,Lafayette County (Missouri),Lafayette (County),7840,8747,20
193,Iowa,Velika katastrofa,1965-04-22,Flood,Flooding,0,1,1,0,1965-04-22,1965-04-22,Clayton County (Iowa),Clayton (County),65019,2178,1
4002,Ohio,Velika katastrofa,2011-07-13,Severe Storm,Severe Storms And Flooding,0,0,1,1,2011-04-04,2011-05-15,Pike County (Ohio),Pike (County),11136,8237,7
3284,Texas,Upravljanje hitnim situacijama,2008-03-14,Fire,Wildfires,0,0,1,0,2008-03-14,2008-09-01,Smith County (Texas),Smith (County),8035,2317,21
3586,North Carolina,Upravljanje hitnim situacijama,2022-10-01,Hurricane,Hurricane Ian,0,0,1,0,2022-09-28,2022-10-04,Alexander County (North Carolina),Alexander (County),22091,322,8
1620,South Dakota,Velika katastrofa,2005-12-20,Severe Storm,Severe Winter Storm,0,0,1,1,2005-11-27,2005-11-29,Day County,Day (County),5164,2932,6
1523,Kentucky,Velika katastrofa,2004-06-10,Severe Storm,"Severe Storms, Tornadoes, Flooding, And Mudslides",1,1,1,1,2004-05-26,2004-06-18,Letcher County,Letcher (County),4040,7819,13
1453,Ohio,Velika katastrofa,2003-03-14,Severe Storm,Severe Winter Storm And Record/Near Record Snow,0,0,1,0,2003-02-14,2003-03-18,Licking County,Licking (County),3019,2652,22
4303,Nevada,Velika katastrofa,2017-02-17,Severe Storm,"Severe Winter Storms, Flooding, And Mudslides",0,0,1,1,2017-01-05,2017-01-14,Lyon County (Nevada),Lyon (County),17014,3290,13
3227,Washington,Upravljanje hitnim situacijama,2005-09-07,Coastal Storm,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Ferry County,Ferry (County),5102,8713,22
859,Mississippi,Velika katastrofa,1990-02-28,Severe Storm,"Severe Storms, Tornadoes & Flooding",0,1,0,0,1990-01-24,1990-03-15,Kemper County,Kemper (County),90011,5994,19
3281,Missouri,Upravljanje hitnim situacijama,2007-12-12,Severe Ice Storm,Severe Winter Storms,0,0,1,0,2007-12-08,2007-12-15,Ste. Genevieve County,Ste. Genevieve (County),7931,6651,5
4112,Kansas,Velika katastrofa,2013-04-26,Snowstorm,Snowstorm,0,0,1,1,2013-02-20,2013-02-23,Ellis County (Kansas),Ellis (County),13012,4180,21
3548,Mississippi,Upravljanje hitnim situacijama,2020-10-08,Hurricane,Hurricane Delta,0,0,1,0,2020-10-07,2020-10-11,Rankin County,Rankin (County),20308,5204,7
528,New Jersey,Velika katastrofa,1977-02-08,Severe Ice Storm,Ice Conditions,0,1,0,0,1977-02-08,1977-02-08,Salem County,Salem (County),77035,9976,17
4586,Texas,Velika katastrofa,2021-02-19,Severe Ice Storm,Severe Winter Storms,1,0,1,1,2021-02-11,2021-02-21,DeWitt County,DeWitt (County),21013,6104,7
4109,Oklahoma,Velika katastrofa,2013-04-08,Severe Storm,Severe Winter Storm And Snowstorm,0,0,1,1,2013-02-24,2013-02-26,Woodward County,Woodward (County),13011,9165,1
3142,Texas,Upravljanje hitnim situacijama,1999-09-01,Fire,Extreme Fire Hazards,0,0,1,0,1999-08-01,1999-12-10,Panola County (Texas),Panola (County),99077,8618,3
3151,Puerto Rico,Upravljanje hitnim situacijama,1999-11-17,Hurricane,Hurricane Lenny,0,0,1,0,1999-11-17,1999-11-20,Maunabo Municipio,Maunabo (Municipio),99147,5679,5
3113,Texas,Upravljanje hitnim situacijama,1993-09-10,Drought,Extreme Fire Hazard,0,0,1,0,1993-08-30,1993-11-15,Dawson County (Texas),Dawson (County),93043,7902,8
2065,California,Upravljanje požarom,1987-09-02,Fire,Stanislaus Complex Fire,0,0,1,0,1987-09-02,1987-09-02,California,Statewide,87027,8577,12
4592,Kentucky,Velika katastrofa,2021-03-31,Severe Ice Storm,"Severe Winter Storms, Landslides, And Mudslides",0,0,1,1,2021-02-08,2021-02-19,Casey County,Casey (County),21021,817,5
1973,Georgia,Velika katastrofa,2011-04-29,Severe Storm,"Severe Storms, Tornadoes, Straight-Line Winds, And Associated Flooding",1,0,1,1,2011-04-27,2011-04-28,Lumpkin County,Lumpkin (County),11083,5591,18
1416,Illinois,Velika katastrofa,2002-05-21,Tornado,"Severe Storms, Tornadoes And Flooding",0,1,0,1,2002-04-21,2002-05-23,De Witt County,De Witt (County),2043,6364,15
3044,Georgia,Upravljanje hitnim situacijama,1977-07-20,Drought,Drought,0,0,1,0,1977-07-20,1977-07-20,Bryan County (Georgia),Bryan (County),77101,7120,6
1983,Mississippi,Velika katastrofa,2011-05-11,Flood,Flooding,1,0,1,1,2011-05-03,2011-06-17,Claiborne County (Mississippi),Claiborne (County),11096,924,22
859,Mississippi,Velika katastrofa,1990-02-28,Severe Storm,"Severe Storms, Tornadoes & Flooding",0,1,0,0,1990-01-24,1990-03-15,Perry County (Mississippi),Perry (County),90011,8754,13
3057,Michigan,Upravljanje hitnim situacijama,1978-01-27,Snowstorm,Blizzards & Snowstorms,0,0,1,0,1978-01-27,1978-01-27,Iosco County,Iosco (County),78028,7641,23
3113,Texas,Upravljanje hitnim situacijama,1993-09-10,Drought,Extreme Fire Hazard,0,0,1,0,1993-08-30,1993-11-15,Mason County (Texas),Mason (County),93043,7952,6
938,Vermont,Velika katastrofa,1992-03-18,Flood,"Heavy Rains, Ice Jams & Flooding",0,1,1,0,1992-03-11,1992-03-11,Windsor County,Windsor (County),92008,1724,3
1079,Washington,Velika katastrofa,1996-01-03,Severe Storm,"Severe Storms, High Wind, And Flooding",0,1,1,0,1995-11-07,1995-12-18,King County (Washington),King (County),96011,2562,14
3284,Texas,Upravljanje hitnim situacijama,2008-03-14,Fire,Wildfires,0,0,1,0,2008-03-14,2008-09-01,Ector County,Ector (County),8035,8861,23
